"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2022","3.8227","3.8315","3.8568","3.8215","0.73K","-0.16%"
"11/16/2022","3.8290","3.8337","3.8508","3.8256","0.41K","0.55%"
"11/15/2022","3.8082","3.8488","3.8573","3.8156","0.64K","-1.01%"
"11/14/2022","3.8470","3.8550","3.8700","3.8458","0.21K","0.18%"
"11/11/2022","3.8399","3.8550","3.8648","3.8479","0.60K","0.02%"
"11/10/2022","3.8392","3.8875","3.8890","3.8373","0.49K","-1.08%"
"11/09/2022","3.8811","3.9150","3.9288","3.8895","0.70K","-0.10%"
"11/08/2022","3.8851","3.9460","3.9557","3.8940","0.74K","-1.37%"
"11/07/2022","3.9389","3.9532","3.9634","3.9411","0.48K","-0.09%"
"11/04/2022","3.9425","3.9773","3.9799","3.9455","0.66K","-0.38%"
"11/03/2022","3.9575","3.9536","3.9810","3.9441","0.55K","0.55%"
"11/02/2022","3.9360","3.9850","3.9919","3.9443","0.67K","-0.90%"
"11/01/2022","3.9717","3.9800","3.9907","3.9783","0.07K","0.37%"
"10/31/2022","3.9569","3.9834","3.9984","3.9647","0.73K","-0.12%"
"10/28/2022","3.9615","3.9750","3.9851","3.9628","0.56K","-0.01%"
"10/27/2022","3.9619","3.9825","3.9933","3.9689","0.69K","-0.35%"
"10/26/2022","3.9760","3.9935","4.0004","3.9810","0.74K","-0.27%"
"10/25/2022","3.9869","3.9900","4.0079","3.9867","0.59K","0.02%"
"10/24/2022","3.9860","3.9850","4.0114","3.9804","0.66K","0.32%"
"10/21/2022","3.9732","3.9790","3.9940","3.9753","0.61K","0.04%"
"10/20/2022","3.9715","3.9850","3.9931","3.9685","0.72K","0.02%"
"10/19/2022","3.9708","3.9775","3.9939","3.9739","0.63K","0.23%"
"10/18/2022","3.9618","3.9843","3.9901","3.9684","0.65K","-0.09%"
"10/17/2022","3.9653","3.9959","4.0005","3.9715","0.63K","-0.30%"